"sku","cost","Montreal"
34bp4w9oje,9727,2
3685x89b8n,6329,1
nvo45mw8je,2517,2
3zp6lvz44n,5678,3
erq227la53,6341,2
37mml446w3,30057,1
3palaazxz3,10405,14
nmqdqrpwv3,11657,1
3xlyqz7wx3,1879,1
4e5rooxm4n,6737,0
nq8ab4yzkn,2298,1
396gpqvgb3,2634,9
ekyq628443,35628,6
nvpo6jmkxn,7744,1
39zdr9rxyn,912,6
3ply9dqlkn,30496,9
3l8mrdkjdn,15339,1
nb4lzgl4xe,2334,4
3w4o9mwjbn,16261,1
3zavxokxwn,145,0
ekybqbmx53,24624,1
362676loxn,3897,4
ngl5pg6pbe,984,5
3oo8yd5v63,20993,0
erq75oz7j3,2512,0
3j2mkl7aoe,2974,14
3zw7jpj8w3,34357,4
e2m7jmk8k3,7789,1
nvqxoapv23,4011,2
nyx4gkm7ze,34863,7
nv9rkqggqe,2482,6
3z7aao9y7n,12980,1
ek8vywjo4e,9653,1
nyy75xrkyn,125,15
3oodg4lpz3,21752,5
e22kyzpx6e,7069,4
er5o292553,3143,5
ngolxb5zre,23965,9
3oyp2ljx9e,573,18
ekbo44kwre,9827,8
e5zobp8z4e,3007,5
34byv5l4pe,2314,2
3l85vzkd7n,10980,0
ek9glk9adn,1260,8
ny464w8lzn,1340,10
ny7bw8v4ln,8869,0
394d79k5ge,4600,1
pedzll78zn,16172,2
3l6qd4zwd3,1265,50
38x5bj645e,12963,3
3w727vzxbn,561,6
edxazy8y43,2495,3
362lmkbm9n,6188,3
nvp4dx5bpn,641,24
edzkokpxdn,6301,1
qnv2rpokx3,2547,1
3pgaxylrz3,27632,1
375d7o2mpe,7832,3
nqzx2wbdkn,465,2
e2mykvmwk3,7156,0
3wqx4b2xb3,5471,1
3al2p4v77n,2767,25
3zrvggro4e,8051,2
396o58aab3,10749,2
ny4gx2yx9n,4154,1
3lpg55p5oe,7169,1
ek8ak8olge,34863,2
nyxk8km49e,2906,14
362p65p9jn,25343,1
3xzb5aljkn,6417,13
nvo9yxyz2e,977,3
3w4ybaqobn,7158,0
3xrpk7lyd3,3279,5
34qgaya8je,21811,6
3xxkg2w5l3,6066,4
nyr9v2pxge,4086,1
ngqk975qv3,835,2
3l8ql2y4dn,5243,1
z37d5dgyj3,5779,1
nvbjx6rqb3,272,7
nvk98vdp23,83,7
346v868vmn,657,15
e5lxxkgv9n,4628,5
era7wyraln,8944,2
3wkyrqdlz3,2773,2
eraylqvpjn,8944,3
4ngoplz7re,3762,7
g38dxk6bon,7524,1
nqq5vb47wn,7597,1
3zgwzq9z4n,143,50
nybl4wwjz3,7189,3
ek4o9vlmd3,58369,0
3wovpjgmye,11948,4
e5994zm7bn,47968,3
o3pb5rgdbe,3069,3
394kyp9jde,1203,1
38vgkp5mon,1498,0
3zzwoxyr63,2523,1
39jd2kl87e,5137,8
3aa5qjxxm3,9874,6
nm4qz5j8jn,587,6
nqdbkrv4me,32659,1
nv9kvrbwqe,6601,8
349o7y2kkn,87536,1
nqlm8jjkk3,2283,3
edzxzxa4dn,8222,11
364zwmppke,10203,6
37rxbpj6wn,26237,2
3l2kxzwqdn,8757,0
nboz6lowa3,423,2
3jxo7zgmxn,21463,1
edq6dp5dzn,5211,7
nyqq2xppg3,21920,10
ng85d7ywv3,12889,2
ekbom5q5ge,5773,4
nm42zzxjdn,96483,5
e5law89l4n,3624,3
3lmyarmbze,28037,2
372qjw649e,83,50
38xk98k54e,11169,1
ngoad9wobe,239,4
nydgjmpz9n,2052,8
3a87qgmobe,12578,1
368radw4kn,498,36
er55qv7993,45445,0
edy5da8oze,3003,6
3azmqj2ove,380,1
nmz68b8jv3,1224,7
379bklkqxn,594,5
ek945q4agn,23611,1
e256kg7oje,10302,0
345a9vd2ye,77,37
nqv6zq26we,48431,0
nm9bzygaje,1815,1
349jzzrkmn,1623,2
37rrrmjvpn,9316,2
nbmldqj2me,6494,2
nyd6a6gxyn,16352,0
38mkwdxkpn,496,50
3zrjw6wy6e,6569,0
372pa4kjje,11016,5
j3j7p88lw3,52,50
eryk455j5n,7386,2
388vm8q8d3,2600,2
e2bvbla57e,6594,1
x36jbpk4ke,562,13
ngvym4d2zn,78,39
23l7dqp9de,8778,1
nbkqp555yn,47765,3
wnbp2x8wae,5680,18
369ybr2p93,2772,4
3jmkmbm5w3,2599,3
9ekxx76w4n,8944,0
ergal7l9ln,66016,1
nqpyym4x6e,8944,4
3zdz9jao4n,8787,47
nyk5gooll3,127,50
36852bwyon,1623,1
3oogrobky3,80016,0
e2bplg6yae,28326,0
ed8oa4ma4n,2159,4
nb8a8b8pxn,2974,2
3zwl9axlw3,11442,0
3jrw68rxxn,5123,0
nqdkya2xke,32282,1
3a76g7dxb3,14077,1
er69x68dje,13998,1
3a7orvkld3,2937,4
37rorlrovn,36,50
ek4abrqx43,16802,0
3l7z22k5oe,5083,1
e5gkaqoqo3,18238,1
ekbmzgo7de,24047,5
39bw49ox7n,200,37
erqlj89283,4868,50
edq4xkd8dn,6069,2
nbv9ajjyme,3638,2
nqdm86k6ke,30110,1
e25qkzw27e,3434,4
g38z74gmp3,5240,26
34galkq4p3,66065,12
3l7mr5byze,45768,0
e5z4qyjz9e,127,50
nv9q9q82pe,1146,3
qnvbypy4j3,27557,3
nvo486gbxe,4865,12
e24kldo463,2237,3
ekg5967mg3,324,25
ny79og8xgn,11471,1
3jq8ddvq9e,6214,4
3l7aawmkye,239,2
e2a9obodj3,22191,8
3a5x77558e,6277,1
nyydvxkwyn,44605,2
o3pddpdp83,13002,0
2nyvg5j4dn,568,12
38k69dbxp3,847,10
erbv6v8993,38259,5
ny7x582dgn,8944,11
e2oyj8v6jn,15578,2
3wworkmdm3,13783,0
3xql28zyln,13699,4
e258golb6e,5125,11
3arjxomadn,14361,50
372z4d9owe,605,1
3o8wrv8lyn,10905,2
e2jmoyoy73,14222,1
e5go9xq643,21025,1
ngq4o9mlz3,316,2
3oyy2a64ze,917,2
34gjjo5lk3,871,1
34p2py6xj3,2248,4
39zzlk8r7n,15281,7
3xaaol5yle,18844,8
3ax6k4w2mn,2445,50
edyl8bk4de,4126,1
372rkwwvve,16339,1
379da2b2jn,26288,0
3j7g8jlrp3,39252,2
3lovlyaky3,1567,0
edzvp766wn,11728,1
nm9va7jzje,62434,3
3axbm9aovn,2933,2
nmkrqm4zv3,1539,4
38vbrowppn,20883,4
er59ra5y53,11003,5
3pl7gxaj8n,18254,3
ek4pjqv243,15950,7
nb6vok9b93,4421,2
3w7gb479mn,9187,3
nq89bajywn,48,50
nmm68xg4vn,1247,0
e2j9v64473,1415,9
er2xg78k83,51434,1
34qy67loje,2857,4
3a78l5zz73,13674,5
j3jjra76o3,9315,4
nb8wjodr2n,1317,50
e2m7gpzm73,5462,0
3754zwrope,17246,2
34xzaplxkn,7474,4
e5g678ywr3,582,4
e2bqwgzrje,5609,0
edoloykpd3,2279,19
nb7r9bzqae,3116,0
nm24mko6j3,13333,2
3a74b2za83,594,8
3lokp7zoo3,24928,0
3x6vd5rmd3,27013,3
nqlovmqlm3,11895,1
394b8w5d7e,8778,3
nv9mzbakqe,8585,1
34g6ak55p3,10394,9
e2aazzqdk3,2032,1
nv9yzamppe,48975,1
ery6byb87n,9954,50
ek97dyyd4n,1289,9
83zkxqb663,4262,6
37ry85a4vn,7868,2
ekygld8qd3,228,6
nygbqyb6ln,5384,0
3wxyp54qqe,78526,0
nmq7wy9xd3,86491,1
er46y66d5n,6022,9
23lz8bx67n,2613,10
nvoy2qlp2e,4721,3
394ab4ovbe,6095,1
e2dk4qo863,7069,6
349z7b6zkn,3643,1
3668q64zo3,9976,2
3ayd2j8kv3,158,37
3j7rykkwo3,968,1
e22y4pjoae,27810,1
3lol4vqd73,2796,0
3pl2pkka8n,38274,3
er6dg7qq9e,765,3
3lowy6rvy3,182,13
nvogaqr6qe,596,11
38wbvdaad3,2133,11
39bk4k4mpn,19968,21
3j8wkdq5we,618,19
ng8lqjajp3,61527,2
37x6rar5jn,1582,9
e5pzj5jl43,559,12
3w752x48xn,5027,2
368r7xq9jn,12875,1
3j7ogozdo3,825,50
3pq5lqypze,2952,2
346vrzk4yn,7462,2
nbmkl5zy2e,24146,0
3wklv862m3,5181,0
