"sku","cost_price","Vancouver"
3zz5mdzrj3,2498,0
39j59vr4ge,120283,0
372gm82ope,10310,1
3pm52g2w93,828,6
e2vzypowd3,9095,0
3zrvylg87e,3169,1
x3ao4d7d7n,2517,0
e55yo5kv4e,17293,2
nqdvz4opoe,1677,1
nq6y79d8k3,5400,1
3lm95xgdoe,9064,1
3py6m6yz93,21475,1
e5g9amzg93,636,0
38djwjk2on,4154,2
3a847v7xme,1034,3
nybzj5vpy3,769,0
3al27opvbn,14624,0
edxkkdg2w3,1399,1
3azm96b6de,6616,1
3xrodaomx3,1599,0
e2vw2d8wa3,5922,1
nyb2mj27d3,4024,1
3lrx9ozoo3,619,0
o3pv4przz3,2483,0
3wk9yy5vx3,4717,1
erymyg5p5n,4190,4
3aa9ddyov3,4036,0
nyg7mdxqgn,5394,0
3l8ylla4yn,1642,0
34k57gmg4e,20331,0
3z7m6gw64n,926,1
3zlla2ga4e,704,0
3p2zgyx68e,1231,0
3z79jvay8n,14819,0
edy5594a4e,4292,0
ng64z9gwre,1524,2
ngl8bz4bbe,394,22
34ppdlpgp3,3279,0
nga7r4bwan,6378,5
e5v8j7ggr3,1053,0
ekzb4gdkge,3961,0
g38dxl68jn,5794,2
365dbvy6on,249,0
36vrjdwrxe,3712,0
3jm2mv4w63,7469,0
x36rmddm93,2392,0
nb79r9jgae,2331,2
3j7o8lazw3,1535,119
er2p8way83,9898,1
3lpq5bgpoe,2500,1
ek7qjlv223,1400,3
38vadz7qdn,2183,7
e2b72y48ke,990,2
nykoz8k9g3,6893,16
nmrvblarje,11369,1
edxqlxz843,2756,0
nb6o2dbax3,515,0
e2vzqgqxd3,1080,2
382b2p9wo3,475,1
3wolavxvye,264,0
3pqk4mmwze,8478,1
nqyvrakg6e,3145,4
3pa29wvqb3,3103,0
3zw88yry83,1602,1
nya65qa6zn,443,89
3l8gbyoqyn,33216,1
ek8y7byo5e,4315,2
edk2rgqogn,984,0
nbox6mr993,7416,1
nbyzw8vq2e,762,3
erypdg5zln,95,1
3zkq4jrp63,14823,2
3orv5y7l93,1830,1
3pajay72g3,15177,0
e2j6zmyod3,1140,2
3o897xdx9n,2559,0
wnbgmx69ye,1956,0
3lpxjk7pze,1210,0
nv4wbva5xn,16102,0
3jzka59lwe,1981,0
3j2lldkjxe,389,400
3lm5r2z7oe,34940,1
nbayrxx8ye,12636,0
nvbxbdbw23,4150,1
4ngor477re,1679,0
362dbb2okn,2831,0
ek2g5d5a5e,3673,0
3o26p29x6n,3418,0
nyxggqbxde,5942,1
3a9d7qoq7n,192,0
3zxgb6bqwe,4710,2
3o2zqyaw6n,1042,3
nggd96o4an,3392,1
nmrdl9oode,258,4
83w864abx3,1836,2
3lrkbjjby3,2872,0
3a8p8xzr8e,3374,2
edgq9bmpde,4719,2
34k54x92pe,9942,0
er7krdp67n,7926,1
349w742o4n,2096,3
ek2dyylb4e,11685,0
39rml2a9b3,12081,0
38ddb4yvpn,2359,0
nbov8q7vm3,6323,0
3wy8jbl7xn,1959,2
ngqdxvdrv3,2371,1
e5p5zzj793,1079,2
3zx5dmy2je,9165,1
3zk4oga8j3,5494,0
3xq8bx22xn,4587,0
3l8grwlgdn,6231,0
e24zz852k3,27870,1
ed754bdowe,980,1
ek26k58k5e,11595,2
