"sku","cost_price","montreal"
34ggvy79y3,966,0
nmo9xgalje,1412,2
erdmxdyp9n,6328,1
wnm95dob9e,22845,3
38wvk56dj3,2444,1
3oblb977kn,4486,0
nqda9a7g6e,1558,3
3oz8o7d8kn,1125,1
3x6jqqowx3,3237,1
ngb6qpvmz3,1652,0
er27m9qzl3,5154,0
3az7k95ame,14731,0
39gpw24rpe,2778,6
3oy5o46jze,1053,0
nmdqwbv7dn,1710,3
3l8zz6alyn,8438,0
nvr8jq85be,218,0
edddbbvmwe,1231,5
372blgzjpe,6357,23
34qp7g7lje,3520,0
3olvvprxz3,8651,2
3pg4y864k3,53870,1
ngvxjvpqrn,56586,1
3az49vjjbe,912,3
3l6q2x8az3,841,1
3zx49kvv4e,1480,0
nq8v766bon,1020,0
edg2wj6b2e,10952,1
3ozyvr9x6n,27741,1
pedow467z3,819,0
nglwjdywae,9316,1
3ax584zamn,9567,1
3z7jo6qlwn,10639,0
erddy4qx8n,1589,2
3j8mydbape,184,2
nq29addlzn,633,4
nbkkdwa82n,676,16
edk25l2d4n,738,0
34p7glorm3,920,0
3xz5d7kxdn,7479,0
erbqd5xal3,4166,9
e55xg6m6re,10194,0
x36ypjoz9e,9009,6
ny7w5x6rzn,944,1
g38p8jj7pn,865,0
nmk8lrjox3,1810,0
ng6p2kdrpe,13714,0
38jzkrw2pn,1298,0
38mrm4pbjn,4968,10
nyydvl24gn,1821,1
ekgk226vr3,2213,0
er54dgzrl3,500,2
ngvgg285an,10774,1
37mgmz7xv3,13050,1
pedrljlq43,7555,0
3j8wl7oooe,1292,1
nm8bdpwyx3,40200,1
g38w892vd3,2049,5
3oo4jypxk3,7635,0
ny4xaqjwln,645,1
3lx545dm73,4123,0
34k6vab4je,274,6
83zdgbb6jn,876,1
3xvprrqble,1177,0
3wl9ggaqqe,1508,2
nqyllz8woe,773,5
erg4m8lo5n,90,3
3lxdr8bod3,4491,1
ngg6l652rn,6186,0
3jropz2mxn,6127,1
3loq4q24y3,11335,1
nya9llrddn,31056,0
nm89b5p5v3,596,8
3j8k2vy5xe,5457,0
3zgqzazdwn,3552,6
e5myvgav43,2156,0
3pkoaapo8e,766,0
erq65w9jl3,1938,1
3py28pkq93,10754,2
369824oox3,3656,1
ny4m6lrvgn,2206,0
nqyg6rkome,1507,1
3wqvlqabq3,1069,0
23la2mmpbe,3011,1
ery8gxxg5n,3575,5
nmkjyo9o93,1693,7
nvv7ovm6xn,4551,1
36pp2264ke,59469,1
39zrd8g5dn,4596,1
39xzoajv73,6690,6
39x4872qg3,3900,1
nq2dm2yq6n,1692,3
83w2xqdxb3,1268,0
nyx5w66dge,1418,2
e5gq7qbd93,862,0
erdbgl8qjn,7895,0
39wydvvybn,555,2
nq6q2rolm3,95,137
ny76zwlvgn,5250,1
3zla4774we,755,0
nvkrllxqp3,608,4
83wbvqdvx3,2807,0
63xq4qk2dn,6920,0
3842mwj85n,5637,0
3lpzm4pkze,1135,1
38zpdar553,1010,0
3j7vddzqx3,2858,8
nybrrzq6l3,1473,2
nbmwbqyr2e,3340,0
ngok2apqpe,3661,8
3alayz5d7n,2644,0
3x68lropp3,7591,2
e5pzyb9vr3,1231,15
e22pl7yxje,2124,31
37xr97kxjn,1909,0
nmqyqo67v3,6872,0
3lxqqpjxo3,1655,2
38dr6vop4n,32020,0
edzl262y2n,869,0
3zk5xrmrw3,551,1
2nyvjvwgdn,5943,0
3ordgdpyz3,14608,12
3aq6a8qmve,2182,0
3lx8y9xbd3,2438,3
374mbbpm93,2970,100
ng9vp8klve,4854,2
ngayx6qlan,12802,1
38j2ag68pn,1680,0
e2589pvr7e,4158,1
nm4k4klvdn,1201,3
erg9mwwqln,1689,1
38zq2z6mo3,2576,1
3zx6v68r7e,2109,4
3zwg9mdq43,8570,0
ngvjpqbavn,11793,1
63x67d4l3r,1812,0
3zxo5axmwe,5775,3
nq8qv6dj6n,3128,0
368bldrakn,7072,1
3l7k9bp4oe,2630,12
wnb57ggb9n,1084,2
nvkqdlqgq3,133,4
ekbxlvxrre,6796,0
e59wgyxj4n,1088,1
3w7jm297zn,3072,5
erddwagy8n,1507,1
3z7bw65r8n,3864,1
e2gwpjro73,503,4
e57bwjom93,2642,0
3oropkx293,653,0
388myab9d3,1804,13
3ob7jdrokn,779,18
e5pk2w6793,4069,2
nbyjlv56ae,3338,6
erq9yzvq93,659,3
nyrgdb7dze,6124,2
ngamywxqvn,729,12
3654xrz9jn,1942,46
39jdgjzmye,133,0
3l6m5d48b3,3000,2
erbprbkjl3,1345,6
349agylvpn,394,31
63xby8b6ln,1126,0
369pr7dvj3,1218,12
3zajxyvw6n,9530,0
wnm525zz93,3580,0
38vxzgjljn,329,3
3759x42jje,1684,1
nqq2295xkn,5638,10
3pymgdklb3,1763,0
e2a9gx8wj3,7014,0
nmmb5bkykn,4734,0
36vjllyx9e,3180,25
36pdb7zgke,9323,1
3xq2w8kykn,21321,1
34xm6pxpjn,3403,1
3ozbb5gbgn,6542,0
ny7rxvx6ln,10221,0
38d87wbrdn,4764,0
3pakzd7rb3,1204,0
3xyvpddake,13168,0
edpqpdg8ge,17351,1
ekz25gqqde,103,69
39z2pda2pn,1922,0
edzjwkzp2n,4430,12
3p7ka5l9z3,4179,2
wnbxzdy9y3,4951,2
3xyvzb9dke,6906,3
3axlj46p8n,2443,3
3loa5z8my3,9816,21
3o4o464pze,903,0
34xg9wvojn,1347,0
nvkp76vkb3,2721,4
ng8j7gmvv3,745,4
3wkwpqoam3,3467,0
ergzlbmj7n,8891,0
nmzg6b57v3,3278,2
3pymplld93,9330,2
wnbamy2yxe,5274,0
ngvkywkyzn,3836,0
er5x64v8l3,877,0
3p7dkqzdz3,5617,2
pedo66rqw3,693,0
nyr868wjge,1794,1
9ek6p7ko2n,1414,0
37ax9do2j3,1198,0
38kxyby853,596,218
3plwyd2zkn,365,17
e2vam8w7j3,214,254
39gq9ab2pe,139,0
e59q8bz59n,2260,3
e5mjq2z943,7703,2
nybpml9dg3,3332,1
3al26oo78n,11430,1
3lmd75yloe,3647,1
3zk244zl43,2473,10
nbm5q9xmye,8895,0
34jm57j5k3,883,0
e2g8bb2gd3,149,3
3w7vo72xbn,8365,1
3zgzb7vp6n,6715,2
3w4oqlammn,767,0
nvoloodaqe,3455,8
39zzlk8r7n,14237,3
3pxqojqm9n,2218,0
e5mlpr4493,8378,1
nq24z4lmzn,3969,0
83wdqd7pmn,3005,1
nbmqmx7v2e,25721,0
ngqg9zkga3,1487,0
36pqjavk8e,2079,8
34j259voj3,909,2
nm9qk5m4je,1367,1
e2mykvmwk3,7392,1
eraaa5p65n,1182,0
nq8wm9vvon,930,7
ngqj95jap3,443,36
3wka9l26b3,1015,1
nqy9kqx6ke,3670,13
3jlpj44mon,4557,2
3aqgwmoy8e,4127,0
nbym7owwae,1504,1
ny49qdwxln,6656,3
3w72kpw2yn,394,620
e2d84qr973,2488,2
3xq8bx22xn,4587,0
3pyjyarj83,13926,0
nbkja9vx9n,1089,2
3wxlbapkbe,1374,0
e2ao4j78d3,2151,4
ek4yoglzd3,39531,2
nmo949q79e,1328,0
3l8vab7vdn,4012,0
39w8q7g2dn,27902,1
nqz5ybr86n,3509,3
nbmwpab8xe,1779,4
3oo6o7xag3,1516,2
erdb6koa7n,4216,0
3jvvpdvo63,2084,2
38dm495zdn,3728,3
ng9wglajre,8257,1
nqawo6pd6e,5719,0
ekq9av6lre,5971,2
nv9myr5ope,584,48
3ax88rkzdn,3698,3
3zkxgljx63,485,8
3464bvbbkn,8170,1
3l2vj5jybn,4366,0
ekqj5wrbde,2876,1
e5vramryo3,3666,0
37bmdlwgve,1198,13
38dky99q4n,21490,2
nggqgp4lan,1506,0
3a5qa6pqbe,2615,1
nb6dp2pk93,512,12
nybwa5rv93,3857,0
3jzord5k6e,4575,2
erdxplg57n,1084,2
372oda4gwe,12222,3
pedkxvvmzn,3045,0
