"sku","cost_price","halifax"
3jm58j88x3,44777,0
er6v85oy8e,3417,0
3ay2zvrgb3,846,0
nvqb5r2k23,1696,1
3o2jddl46n,5997,7
e5pjydqk93,5286,0
ngl664opve,1866,2
nykd558293,11037,2
3pkjwgbk8e,3699,2
er5qjr4y93,7104,2
nya4dzor9n,20920,1
36782rzkje,3435,0
3oz79drd6n,5639,0
37xvdg2k9n,644,12
nbab8r8p9e,8520,0
e2dmjd4d63,646,0
nb6a8q4oa3,3157,0
nm4wpj44jn,1383,0
nqzbragrwn,2578,10
3zkg72zz83,1966,2
3466w65p4n,44502,0
nvqj7kx5q3,3592,1
37bmyl6zje,4164,4
nyxmjd8oze,2239,8
3a7bmk4jb3,5957,2
3zl9jd77je,2517,2
nmk9bpzzv3,10667,2
345a226dye,13044,1
nmkbqdrdx3,1112,0
er2dzaxo53,45581,1
x3aor5bmmn,48751,1
edoy5zw8g3,1862,1
nvz4ovzyj3,1151,0
367om525xe,1611,2
ek2lx2b94e,528,0
ngg4p4qban,3078,1
3654q96vkn,4000,1
39b9gzxkdn,1455,10
3l8yx2xyyn,7384,0
34k6q7x7ye,1970,1
3pkl9879ze,2156,2
34klbw2xpe,6913,3
nmmwgxrakn,905,3
nyqj86r5z3,8976,2
nyxdgkgoye,8327,0
nq6bj8y8m3,4764,0
3orqxbwk93,951,0
nb7qmz5xae,15261,0
nmq5jdw4j3,27613,1
3lxq4gk5o3,7205,1
nbk4mv8kxn,754,4
34k6wj68ke,1258,0
38x4b2x2de,245,1
nv45qgb4qn,1493,2
3oo68kg7z3,1947,4
ekoqpp7d2n,24191,0
edk884v52n,6096,3
nbkrzbkq9n,7452,0
3xz8xr644n,819,0
rnq74m5moe,6640,0
eko8m6prrn,4275,0
3o29v5gq9n,6238,1
nmq75ya6v3,15548,2
edojb664z3,640,4
x36kvov4jn,41113,1
3lm5qrjmoe,280,8
ng9xk2rgbe,1037,0
ed7jwwvl4e,5850,0
ek496ro6r3,12955,1
2nykxd96z3,2224,0
3ww9wddgy3,543,0
3a7r5oaym3,805,6
39zgjgv57n,876,5
3orgd2p5g3,308,2
37xajyxjjn,8424,0
3olo9vyw93,4572,0
nvq7b66pq3,2529,3
ngbxj2gar3,8574,0
ek885dooge,14007,1
3jzyarkwwe,5315,0
nqd9vdjx6e,7576,2
3xlwodl5d3,25428,0
3464bvbbkn,8170,1
3722bq4bxe,363,0
3azopj8jve,2835,0
nv9bbavr2e,28565,2
34bjyg4wme,2619,2
39z7q4wrpn,8798,1
3pxm9x2azn,6588,12
34gxv2mj43,3096,0
37xgj9ly9n,6015,1
3wy972z6qn,8488,1
3j67px9axn,5959,0
3azvp5kpve,1380,0
ngg46odzvn,6803,0
9ekmmglgd3,3790,2
34xy9loamn,3523,4
3az4g74pve,2439,0
z37agpjo93,459,0
3jqkz4bkwe,1054,0
34bbaozxme,5397,1
36v5gakzoe,1263,2
nm9vlbmade,5244,2
ny7rwzogyn,1286,2
3wv9x4ylzn,729,0
edq767brwn,3905,1
nv9wvbj7pe,8858,3
nmkojym8k3,1416,1
3olz97ylk3,5529,0
39jr7dk9de,3050,1
3okvyzvykn,1273,0
3jrglpyoon,2543,8
ng497d9rzn,1461,4
365axalp9n,704,4
j3j4d4brw3,31374,1
e2j455zvd3,5161,1
3px5gop9gn,989,25
3pa8robj93,5613,0
3l796kpvze,4914,2
ngo52rdove,3588,0
3ax7v4v88n,26537,0
2ny7w8zpgn,14512,0
ekq44d7z5e,17097,1
nyr67vkjye,185,3
ed77w47vwe,6253,1
e5va4zvkb3,4978,13
3jzyzrgwpe,6918,0
ny72wz9gln,23339,4
63xo4brjd3,3147,0
38w9a4k9j3,3592,0
nq6y4mlpm3,3705,0
36pbo5x69e,632,0
wnmxkgz8je,4065,4
39w6p54bgn,5467,1
nm8y9b8jx3,1460,1
e55qbzb99e,1841,2
nyx66kkjge,13307,0
3ply945mgn,9823,0
23l4amy9ze,9738,0
3axvow72mn,4917,2
3456qy8dje,1398,0
3wyvl5abbn,3100,1
ngl2po9bpe,4545,0
ek2g48qpde,7303,0
3jv9jaa7o3,1794,2
3w7kaqmmbn,3793,1
3jzvg7ld9e,2941,0
3xaw6md2ke,5613,0
83wojormbe,31616,3
3jvkzao863,4454,0
ergzdjd55n,674,0
eddxgrdlze,1522,2
3lbmayx9zn,2755,0
erakxmgw8n,12599,1
346y5d984n,674,0
39j5p2pope,1160,4
394pmmw4de,1229,1
nq69gjqw63,4811,0
3axbqbl9mn,900,3
3pl9g98zzn,1740,0
38jwrzx4on,5291,1
nvpdaol4qn,1069,1
3aq9j9pqde,7906,1
3j8mprg66e,4278,0
3lblo9jqon,14172,2
3pmxmdqw83,718,0
nbkm486bmn,1300,1
3pyp69k7b3,4870,1
er55p84283,10223,3
3wv28pqmxn,8943,0
3p2kkyyp9e,3264,2
3xr5dpav43,24570,0
3zgaj4qzwn,1403,0
3olybmmzg3,11116,1
edxrv28j43,2202,2
3ozgz79bkn,2176,2
nyy56lq7gn,1264,2
ed887plg2n,15573,0
e25p6jrrae,38321,1
9ekr8oz5n2,1074,4
nql96mbz63,580,1
nbka62g69n,9730,2
9ekomo8k2n,2002,2
349yok44kn,3992,6
e2va9lla73,559,4
3zrawaz97e,8068,4
379qraar9n,17734,1
edobo8zg23,2138,1
