"sku","cost_price","vancouver"
3wy7m776qn,24624,1
3oyqzv4zge,3796,6
edydggpwde,6082,1
394bmdjxye,12221,2
3ayw77x8m3,1379,5
3xvl7jw8de,3240,1
z37or2ly9n,5777,2
3oy2gd4rze,22097,1
23l8w7g2zn,4064,1
rnq8d7am6n,15600,4
3zrp5wrgwe,2156,1
edqd2o982n,8891,1
e525myx9re,10202,1
63xbr6ldln,27192,1
73o57ogw6n,969,12
3zx42xbj8e,18062,1
3l6kx969y3,7812,2
e2g72o84d3,1299,2
nq2a9zagon,9917,2
3zrzxkjl4e,7694,6
nqlkqdmoz3,1996,5
eddg6mkage,11446,1
39jwoa7bge,22925,1
3w4gkg4xxn,6117,1
3olxo6ojz3,14787,1
nyr8v4y8le,20373,2
37286ja7pe,9607,2
36vg6qp59e,16837,2
368dg6ak8n,9089,2
3p2jz95v8e,14626,3
ek7z9ajar3,8675,2
3jqarwjg9e,1622,3
g384zymwjn,1634,2
3jvvalao63,24583,1
nmkmokgkx3,8290,1
3xrbm77gx3,13238,2
nyap9qgpgn,5148,2
nb84rq57xn,4075,4
3lrz66yx73,12233,3
3jqj9kav6e,12373,1
38xxvdrkde,8156,2
38j8xddo4n,12795,1
ngbq958mv3,15680,1
nvrrwv5bxe,3119,8
nyy547bldn,19392,2
3zg7zvmxwn,15101,1
38m5y2qbon,10426,3
3lbaxdv8on,3393,8
4e58vl9ooe,8608,15
nqq4d92m6n,4397,6
3l7vbvowye,7384,1
nm4578goxn,5242,3
3pmwq6kr83,9524,2
3zrjpkd27e,16566,3
ngobv5qjae,10655,9
e5pzyab743,5299,5
3zw7aojv63,4245,2
346kkx74jn,4977,6
erdqxm7rjn,2809,6
e5pvzmwyb3,12260,7
396aj4k8d3,16244,1
3zxxyqko6e,4668,1
34g5v4yz43,4827,2
3ayqpaqrd3,1037,5
ngvwqjjpvn,30763,2
ekgylqqlg3,7550,5
63xk7j9ldn,4847,5
3lxzgm5zb3,5825,2
3zr5dq5z7e,1449,2
3964lwokg3,3704,1
372vbv67we,14408,2
e2jm6ykvk3,17629,1
3lrbmqrgb3,23147,2
qnvvjrddpn,3418,2
3jl67bpdwn,15477,5
37xyjllrxn,1935,1
3wqj64qlm3,34020,10
ekoaz27k2n,14256,2
3j2o5qvowe,9960,1
nq279am8zn,1091,7
nq6mrlo263,9883,1
3zag4kam7n,10159,2
379x464j9n,5170,4
nmklbgxpk3,7153,13
ergxm9pv7n,15474,1
3z79lx6b7n,9844,2
3axdvyvmmn,642,12
nbv5bwklae,27841,1
ny4a655lln,2421,4
83zx6krk7e,14591,4
ek2z7lmrde,1943,24
e2dobgx863,10188,2
nqvagomjme,3489,6
364qlxv5je,8008,1
365vw8b5on,5578,1
3j2a5ryroe,6890,4
3zxabzj64e,3364,4
nvbbvdpab3,10538,2
ngom5v7kpe,5880,2
edqpwwj5wn,3315,1
nvp2y7jppn,15588,1
3o85bqkkkn,5440,2
e5vwddbb93,1270,8
ngqqxrbrp3,7513,1
nyky2yy7g3,9094,3
nmdz9w8zkn,11195,1
nykwdbxkg3,12132,3
3jz9bd4voe,13644,2
36o447g5k3,3726,3
nboqwblg93,32269,2
ped2vxpzn6,7033,1
3axw98wgmn,3965,2
39wbdx4xgn,10936,2
3xr55gmyd3,10082,3
e5569lra9e,11050,1
34kakym7me,7606,2
nvqyq6b4j3,898,7
3loxaybzd3,6271,2
3l6lgy4dd3,5056,1
3jx5x4z2wn,1898,3
qe25xwlpae,7167,3
3pq9ro6gke,9060,4
3arzmrogdn,5011,3
83zrwv2o7e,1764,4
3wvaxgvzmn,11952,1
erdxkbl49n,5153,3
3628jjrvon,11219,5
39lojrpqd3,12180,1
e5v7y8a843,4088,11
ekobkrd9dn,13041,3
eddkmdpj2e,4984,3
nql4qb8bz3,4305,3
3wqrgxbyy3,7803,4
ek85vv9mre,2064,1
xer2bq8k73,16779,4
edgzmrdq2e,5651,1
ngbmwvokv3,4209,3
3p2zwdrzze,2713,2
3j64yk6ywn,20932,1
rnqg22my6e,5723,1
e2v4xwbl73,19031,2
37b9xxvv9e,19964,1
ngv5koxoan,5463,5
3ok222zg6n,5176,1
nq2rzwklkn,14094,6
e575zv2wr3,17873,3
nyqz8l9gg3,2642,4
nqp68846oe,15538,2
374jx5jop3,20959,1
ngb2dwkrz3,3458,2
3jqam7bvoe,3112,3
36yym5jjoe,12982,2
e5bqgdj9ge,7258,7
e5vwbobq93,8648,8
nq66dyv6k3,13994,2
34pqj49om3,799,5
3pxzmxxv8n,3447,6
qe248zama3,4725,2
39gr8xgvge,5522,1
3a7x6jxlb3,1666,5
nm2v77p2d3,25677,1
3l854z4xbn,7929,1
3pmd5jdpz3,8666,9
3w49glvmxn,1018,9
374xaz2993,5887,1
ed75l46yge,8281,12
ny7zrro5zn,33405,1
e5po8k6gg3,6245,1
2nyyy72kzn,7979,7
379yzl659n,1110,7
3p2ld69yke,2192,7
3zggx2z9jn,13333,1
e55lqmbgre,934,3
3pkav7bdge,17738,2
3659rm6pxn,6793,1
38kv9vk553,7609,1
nyrolbqyle,6931,2
edo46ad243,9375,1
3zpzwz9xjn,19513,2
38k5665743,32350,2
nvvpoqvyqn,24651,13
nmkrbm6ov3,5449,1
ngb5axavp3,2576,1
er5vv24r93,4937,1
e2dpo59jk3,231,12
e5pv8kglg3,30158,1
3lpr9vb6oe,2041,1
38vqg25ljn,1003,3
nvp4v8z4jn,11831,1
erbd55gzj3,5916,1
xerr94ym5e,9750,1
ekomko7j4n,14631,7
3j6j9aylon,8654,1
39wr6k7lbn,3108,1
394b947mde,7928,1
3okmda67gn,473,3
e5956dk94n,6455,3
36ykvj869e,10783,6
34b924qzje,6357,1
3xamapojke,3849,5
3zgod7qy6n,11082,3
37b94w4ype,4403,2
3wy52z5gmn,8762,6
wnmdrz8kjn,3013,9
edqrkbkj4n,3534,3
nmrbl629ke,1964,2
ek44ok2p23,4004,4
nb7yjp54ye,556,35
er67k65kle,6945,4
3zwzv9d563,18898,1
37r7ldr4wn,6423,18
3o8mpqg6kn,11572,5
3lx4ggz7b3,15101,8
3zaaz64k4n,9155,1
x36z66agon,2780,1
3o29wvq96n,9356,2
375rjjjx9e,9515,9
3l8krb2yyn,24214,1
367y4jg59e,9132,2
e2ogwmrb6n,12006,1
3j66zvxqwn,1764,4
ek2vll7x5e,7222,4
nvqklzbw23,22083,2
37va5bqdp3,674,10
36yq5275oe,444,8
38mgq4b5jn,7268,3
3a8dgbagme,19576,2
e2bwyy8j6e,35760,2
ekodqgk9dn,17972,1
362gxl928n,3207,2
39wqp6yqdn,15904,4
e2j7vwk5j3,20498,6
nqpjkrx66e,25426,1
3o8jo2k9gn,3311,6
nydmz679zn,1287,1
erdlllj65n,14469,3
nm92mj469e,7728,2
362o4awjxn,7122,2
34266a5xye,3233,1
e57mab28b3,12919,4
3ay9yq7mv3,633,48
l3468j44jn,4984,2
nyavq9jx9n,661,5
3wkqmpb5b3,3290,1
pedwz7lgwn,14751,3
ed7yoxqmde,16951,3
nqyj7l2zwe,4499,2
nq8rdj6xzn,5483,4
3l7q7gj6be,5208,2
36ya55jrxe,7456,1
3a94zjg2mn,23381,3
3lp9qxdrze,6937,3
nmm8jpmb9n,31932,1
3jxzby4vpn,2586,5
3w4jplyrmn,3088,1
37adwr8pv3,15613,2
38kkm5qko3,1592,4
nvqjzxppq3,3764,6
36p245499e,7267,5
xer74dod9n,22557,1
3zwdy5bd73,4904,4
nyk2oazky3,6155,2
3ww5yxwjx3,31043,2
e52wjb9d4e,15115,2
nyqzdzvwg3,25126,3
edoxozdmz3,23688,5
nv9qqy8bje,21031,1
34k5k24mye,7266,1
nbovov5px3,8243,4
37ryjw47pn,13572,1
3lbq272azn,725,1
ngljz48vae,4394,2
3ozpzb9o6n,3997,2
eryg595w9n,2134,3
349ld2jljn,1212,5
pedpvqvk2e,5202,1
ngva2b59bn,8534,1
e2j5j6rz73,26248,1
3o4jxklq9e,635,2
3ob9dra66n,12003,9
394y2v9lde,9530,4
9ek5dq2gre,11813,1
3p2xjadpge,1832,4
37bwpjz7ve,7105,1
e577zyy5r3,2415,2
nydbogxrzn,1834,6
3wvv7p5lyn,1970,3
nb7b6wdp9e,18309,1
3pyqpmm2g3,980,10
nygqr6x2zn,10475,1
erqdba5bl3,13052,1
3obgv9yggn,935,2
34kvkmo5pe,2101,1
3lb7w9vdyn,668,1
3l8a5pvobn,12717,3
ng8k8yqwb3,10435,1
ng8x4828r3,2531,2
3wl9b2ywxe,8761,2
er2k45xg53,13766,1
3lp5q5lrye,79749,1
ergxz67kjn,2976,2
e2bjaydyke,8812,1
3pa2wv7v83,5166,1
38w4kp7wd3,2931,8
nvpvvmd6qn,1666,1
4ng9jox6ae,20516,1
e2az4ylzd3,15579,6
ekzdpx5y2e,4864,1
3xvvxgwode,6530,5
34kb67wb4e,11151,1
3pkwwz2jge,8437,4
wnmr6y8rve,12363,1
3wlkrgg4qe,17350,2
3pk9p57dze,7245,3
ny4kpop8yn,3240,2
e2gr25v4d3,12346,1
ed7varxw4e,5702,1
394k7zqqde,7665,8
4e5gyg2po3,999,5
3jqjp9kgoe,3294,2
nybav2orl3,15610,1
38x8zomvje,3522,2
e5lqk8rk9n,482,10
3aqkdl2d7e,10591,1
e2j8pdqad3,17981,2
3p7og2dw83,1896,3
e5m82av9b3,8977,3
37am8vq5w3,8944,3
nvovy2852e,25560,1
g3884rz6p3,6301,4
xerm6ow65n,12321,6
3xzkybqlpn,16003,1
3x6m29rvx3,31132,2
nydyo95y9n,5386,1
3wk4aparm3,16143,1
ed7wrak7ge,21451,2
3aqyzmgwde,10505,4
nvzllqll23,18262,2
er7gmz7y5n,3204,1
ed7xy9kdze,2775,3
edgpkz724e,1777,1
3ax585wz8n,6717,1
3jzzydo26e,5963,2
nqaox7y6ze,5848,2
e52x5lywge,1832,9
er2ddow2l3,20735,1
34kvbdlbke,10944,2
3ww68xxzz3,3864,32
3zr759l2je,41550,1
3ob2v2jkyn,20188,2
34jbvwy7j3,10856,1
3jmjg25z63,4607,1
39x2dmrxd3,3447,1
e55qowgzbe,13544,2
3z74jjodwn,1028,2
3lpa48bdze,3836,2
nmrxklmyje,13037,3
39zpqz9a7n,20689,12
3ww57lbkz3,1173,1
wnmba5d5d3,3133,10
3xllzd9x43,11540,2
nb4kpqmqye,9446,2
3wq7x7kgb3,9824,3
3a7mo6m2m3,8156,2
3j24aqqqxe,21136,1
e2a7md8qd3,6445,5
366x474893,4264,2
nm97k4oade,22088,1
nyg76vmkgn,1121,1
3xxzvoxzl3,11365,3
l3479mlpk3,6359,2
e2gjljo273,46994,2
e5lj2xvm4n,6387,3
39gj8dmoye,6901,4
37rdv788pn,1592,2
362lkalo8n,16341,5
nvk8rzv423,25527,1
ny44mkqydn,2093,16
ekbqyomy2e,11334,9
3j24d6dpxe,13094,2
nm4lb5qbdn,4284,1
3axz4bylmn,6870,1
nb7zl8o2xe,11388,1
erqk9qgk73,12759,3
edzqkw8r4n,19048,1
peddzbgoze,9716,1
368p8ojrkn,44906,3
e2az8lk9j3,21412,11
3ar6vgzxdn,7976,2
3jmlqqp9x3,3385,3
382ybj8p53,10718,1
ngoajgrgbe,4286,2
l345aj4peq,14099,1
3o8a9jjoyn,8778,1
38k2b7a7d3,10498,4
ng6jop94be,5474,4
nvbakl5d23,5371,8
edy6zogpwe,20826,1
3lpbjl74ye,1825,3
3jqv4xwb6e,840,9
3ozzm2m66n,1146,5
ed8ymyjwdn,3472,2
edxmwblw23,8818,2
3okmvb5xzn,5728,2
37m2k6xbv3,30036,2
e5pamppm93,8235,1
edyd6b4a2e,20961,1
nvpd8xoj2n,1404,7
xerqgx8k73,9219,1
3wxl55plxe,18242,4
4ng6ay89pe,5707,1
qe2gmamvk3,17382,1
4e5bdk259e,21102,6
83zbqwoz83,6349,1
3lxr5mjlz3,1015,4
nvr2w59jbe,3622,1
3l8xv4prdn,9656,1
3wqxb62qz3,1122,3
ergkvvbbjn,7905,5
ny7b288ozn,11509,3
erg6pbyl9n,8702,1
3l2b6544bn,894,6
346qdp2ljn,115826,1
nv9666rabe,15562,1
3xzdr9kvdn,4244,1
3a9lamybbn,22181,1
23lmjpx87e,3059,1
er645qv29e,9637,2
e2bkyd8d6e,3444,1
3724kqyjje,4206,7
38m9gl8zpn,15240,1
nvqxmpv5p3,3173,3
l34bbkgxme,9219,3
3p7dpm5gb3,3098,5
3l2obo5d7n,14974,1
nyx89qwv9e,6040,1
369pyy69o3,3114,3
3a77xm5lm3,2826,1
e5p8o67r93,10451,1
ng8rkz6ab3,4494,3
38dvg8q6pn,12374,4
3wybk64pbn,12593,1
eko6l8j5gn,988,3
39jjk6wmge,886,5
e2mab54gd3,6737,4
nvbypxg6p3,13394,1
3jqorabbpe,1168,2
ng9qr9dqve,11561,1
37mwrklyx3,372,4
3pmqy8lvk3,9115,6
83zv5dk28n,18522,1
