"sku","cost","Edmonton"
34bp4w9oje,9727,2
3685x89b8n,6329,1
nvo45mw8je,2517,2
3zp6lvz44n,5678,3
erq227la53,6341,2
37mml446w3,30057,3
3palaazxz3,10405,50
nmqdqrpwv3,11657,1
3xlyqz7wx3,1879,1
4e5rooxm4n,6737,9
nq8ab4yzkn,2298,1
396gpqvgb3,2634,49
ekyq628443,35628,9
nvpo6jmkxn,7744,1
39zdr9rxyn,912,6
3ply9dqlkn,30496,28
3l8mrdkjdn,15339,1
nb4lzgl4xe,2334,4
3w4o9mwjbn,16261,11
3zavxokxwn,145,2
ekybqbmx53,24624,1
362676loxn,3897,10
ngl5pg6pbe,984,5
3oo8yd5v63,20993,15
erq75oz7j3,2512,1
3j2mkl7aoe,2974,35
3zw7jpj8w3,34357,9
e2m7jmk8k3,7789,1
nvqxoapv23,4011,2
nyx4gkm7ze,34863,28
nv9rkqggqe,2482,6
3z7aao9y7n,12980,5
ek8vywjo4e,9653,3
nyy75xrkyn,125,16
3oodg4lpz3,21752,5
e22kyzpx6e,7069,20
er5o292553,3143,5
ngolxb5zre,23965,45
3oyp2ljx9e,573,31
ekbo44kwre,9827,10
e5zobp8z4e,3007,6
34byv5l4pe,2314,2
3l85vzkd7n,10980,1
ek9glk9adn,1260,8
ny464w8lzn,1340,14
ny7bw8v4ln,8869,7
394d79k5ge,4600,5
pedzll78zn,16172,4
3l6qd4zwd3,1265,50
38x5bj645e,12963,5
3w727vzxbn,561,6
edxazy8y43,2495,3
362lmkbm9n,6188,4
nvp4dx5bpn,641,24
edzkokpxdn,6301,1
qnv2rpokx3,2547,1
3pgaxylrz3,27632,3
375d7o2mpe,7832,8
nqzx2wbdkn,465,4
e2mykvmwk3,7156,2
3wqx4b2xb3,5471,1
3al2p4v77n,2767,25
3zrvggro4e,8051,2
396o58aab3,10749,13
ny4gx2yx9n,4154,1
3lpg55p5oe,7169,1
ek8ak8olge,34863,23
nyxk8km49e,2906,32
362p65p9jn,25343,1
3xzb5aljkn,6417,38
nvo9yxyz2e,977,3
3w4ybaqobn,7158,1
3xrpk7lyd3,3279,5
34qgaya8je,21811,8
3xxkg2w5l3,6066,4
nyr9v2pxge,4086,1
ngqk975qv3,835,2
3l8ql2y4dn,5243,1
z37d5dgyj3,5779,3
nvbjx6rqb3,272,7
nvk98vdp23,83,7
346v868vmn,657,15
e5lxxkgv9n,4628,7
era7wyraln,8944,5
3wkyrqdlz3,2773,7
eraylqvpjn,8944,6
4ngoplz7re,3762,7
g38dxk6bon,7524,3
nqq5vb47wn,7597,1
3zgwzq9z4n,143,50
nybl4wwjz3,7189,4
ek4o9vlmd3,58369,1
3wovpjgmye,11948,4
e5994zm7bn,47968,13
o3pb5rgdbe,3069,3
394kyp9jde,1203,2
38vgkp5mon,1498,1
3zzwoxyr63,2523,1
39jd2kl87e,5137,8
3aa5qjxxm3,9874,14
nm4qz5j8jn,587,50
nqdbkrv4me,32659,1
nv9kvrbwqe,6601,14
349o7y2kkn,87536,1
nqlm8jjkk3,2283,3
edzxzxa4dn,8222,26
364zwmppke,10203,13
37rxbpj6wn,26237,2
3l2kxzwqdn,8757,1
nboz6lowa3,423,14
3jxo7zgmxn,21463,1
edq6dp5dzn,5211,7
nyqq2xppg3,21920,31
ng85d7ywv3,12889,2
ekbom5q5ge,5773,4
nm42zzxjdn,96483,13
e5law89l4n,3624,4
3lmyarmbze,28037,4
372qjw649e,83,50
38xk98k54e,11169,1
ngoad9wobe,239,4
nydgjmpz9n,2052,8
3a87qgmobe,12578,1
368radw4kn,498,36
er55qv7993,45445,6
edy5da8oze,3003,6
3azmqj2ove,380,1
nmz68b8jv3,1224,8
379bklkqxn,594,5
ek945q4agn,23611,1
e256kg7oje,10302,3
345a9vd2ye,77,37
nqv6zq26we,48431,1
nm9bzygaje,1815,1
349jzzrkmn,1623,2
37rrrmjvpn,9316,8
nbmldqj2me,6494,4
nyd6a6gxyn,16352,21
38mkwdxkpn,496,50
3zrjw6wy6e,6569,1
372pa4kjje,11016,7
j3j7p88lw3,52,50
eryk455j5n,7386,2
388vm8q8d3,2600,4
e2bvbla57e,6594,1
x36jbpk4ke,562,13
ngvym4d2zn,78,39
23l7dqp9de,8778,6
nbkqp555yn,47765,8
wnbp2x8wae,5680,28
369ybr2p93,2772,4
3jmkmbm5w3,2599,3
9ekxx76w4n,8944,4
ergal7l9ln,66016,1
nqpyym4x6e,8944,7
3zdz9jao4n,8787,50
nyk5gooll3,127,50
36852bwyon,1623,1
3oogrobky3,80016,8
e2bplg6yae,28326,1
ed8oa4ma4n,2159,4
nb8a8b8pxn,2974,3
3zwl9axlw3,11442,1
3jrw68rxxn,5123,5
nqdkya2xke,32282,4
3a76g7dxb3,14077,3
er69x68dje,13998,1
3a7orvkld3,2937,5
37rorlrovn,36,50
ek4abrqx43,16802,1
3l7z22k5oe,5083,1
e5gkaqoqo3,18238,1
ekbmzgo7de,24047,9
39bw49ox7n,200,50
erqlj89283,4868,50
edq4xkd8dn,6069,2
nbv9ajjyme,3638,2
nqdm86k6ke,30110,1
e25qkzw27e,3434,6
g38z74gmp3,5240,50
34galkq4p3,66065,21
3l7mr5byze,45768,3
e5z4qyjz9e,127,50
nv9q9q82pe,1146,7
qnvbypy4j3,27557,12
nvo486gbxe,4865,35
e24kldo463,2237,7
ekg5967mg3,324,28
ny79og8xgn,11471,4
3jq8ddvq9e,6214,4
3l7aawmkye,239,3
e2a9obodj3,22191,13
3a5x77558e,6277,2
nyydvxkwyn,44605,6
o3pddpdp83,13002,5
2nyvg5j4dn,568,12
38k69dbxp3,847,10
erbv6v8993,38259,16
ny7x582dgn,8944,24
e2oyj8v6jn,15578,4
3wworkmdm3,13783,4
3xql28zyln,13699,4
e258golb6e,5125,17
3arjxomadn,14361,50
372z4d9owe,605,1
3o8wrv8lyn,10905,15
e2jmoyoy73,14222,2
e5go9xq643,21025,6
ngq4o9mlz3,316,2
3oyy2a64ze,917,3
34gjjo5lk3,871,3
34p2py6xj3,2248,6
39zzlk8r7n,15281,7
3xaaol5yle,18844,9
3ax6k4w2mn,2445,50
edyl8bk4de,4126,7
372rkwwvve,16339,5
379da2b2jn,26288,16
3j7g8jlrp3,39252,2
3lovlyaky3,1567,2
edzvp766wn,11728,4
nm9va7jzje,62434,10
3axbm9aovn,2933,6
nmkrqm4zv3,1539,4
38vbrowppn,20883,4
er59ra5y53,11003,8
3pl7gxaj8n,18254,5
ek4pjqv243,15950,11
nb6vok9b93,4421,8
3w7gb479mn,9187,3
nq89bajywn,48,50
nmm68xg4vn,1247,5
e2j9v64473,1415,11
er2xg78k83,51434,1
34qy67loje,2857,6
3a78l5zz73,13674,18
j3jjra76o3,9315,4
nb8wjodr2n,1317,50
e2m7gpzm73,5462,1
3754zwrope,17246,3
34xzaplxkn,7474,9
e5g678ywr3,582,6
e2bqwgzrje,5609,2
edoloykpd3,2279,23
nb7r9bzqae,3116,16
nm24mko6j3,13333,2
3a74b2za83,594,10
3lokp7zoo3,24928,6
3x6vd5rmd3,27013,4
nqlovmqlm3,11895,2
394b8w5d7e,8778,3
nv9mzbakqe,8585,1
34g6ak55p3,10394,14
e2aazzqdk3,2032,1
nv9yzamppe,48975,4
ery6byb87n,9954,50
ek97dyyd4n,1289,10
83zkxqb663,4262,8
37ry85a4vn,7868,9
ekygld8qd3,228,50
nygbqyb6ln,5384,3
3wxyp54qqe,78526,18
nmq7wy9xd3,86491,2
er46y66d5n,6022,25
23lz8bx67n,2613,19
nvoy2qlp2e,4721,3
394ab4ovbe,6095,1
e2dk4qo863,7069,20
349z7b6zkn,3643,1
3668q64zo3,9976,2
3ayd2j8kv3,158,50
3j7rykkwo3,968,1
e22y4pjoae,27810,3
3lol4vqd73,2796,3
3pl2pkka8n,38274,16
er6dg7qq9e,765,3
3lowy6rvy3,182,32
nvogaqr6qe,596,11
38wbvdaad3,2133,50
39bk4k4mpn,19968,50
3j8wkdq5we,618,19
ng8lqjajp3,61527,10
37x6rar5jn,1582,9
e5pzj5jl43,559,12
3w752x48xn,5027,2
368r7xq9jn,12875,3
3j7ogozdo3,825,50
3pq5lqypze,2952,2
346vrzk4yn,7462,12
nbmkl5zy2e,24146,2
3wklv862m3,5181,4
