"sku","net_price","Monteral"
382jw2omd3,586,50
nmk58d9593,967,50
ngo9kob9ve,1953,50
erdl8p7qln,1414,50
4e59xjj7rn,947,50
23ly7q25de,4295,50
3l6zyvgro3,786,50
39jvyq4pge,1114,50
38zq688p43,1484,50
3jr64j24pn,3422,50
x36744opxe,9995,50
3ol7jb9xz3,9995,50
ngarzx77vn,1830,50
3l6rpakbz3,9332,50
nmrxmwkbke,3295,50
nmk25vryx3,3295,50
nykdypzjl3,3295,50
nvzz48akq3,3295,50
394wvwxbde,1995,50
nyyjbqrqdn,1995,50
3zro55br4e,1995,50
e2mlkgbad3,1995,50
e5g8jak293,4495,50
ngloxmz5ae,4795,50
ekzkvxolge,5995,50
edk4wkq2dn,6795,50
39xk5dkk73,3995,50
nmrq29zz9e,4295,50
nqz9o5mwkn,6995,50
era9x6jbjn,7295,50
edx24vqrg3,8995,50
83woorpqye,9495,50
379y9lyvwn,3895,50
3zd7gyz9jn,3995,50
3wy5or2lzn,4195,50
37v8j4pyj3,4795,50
xeroq2md7e,4995,50
g3878vg4pn,3895,50
ped62mvrd3,3995,50
nb4kz4pjme,4195,50
4e5jbad8r3,4795,50
3a5x2z4r7e,4995,50
ekzodlwlde,3895,50
34bg72qwje,3995,50
e24yxprrk3,4195,50
e52wv7q6ge,4795,50
x362bppzjn,4995,50
erg9og6zln,3895,50
3l29y62k7n,3995,50
365grd62jn,4195,50
3xqwap5xkn,4795,50
3j84rwqzwe,4995,50
nqlzqzbpz3,3895,50
36ypgaroxe,3995,50
nmzg5gv7j3,4195,50
39g2vgpmde,4795,50
3wlq9wowxe,4995,50
nq8qyjzdkn,3495,50
ngqpkxaoz3,1895,50
3xq46w6ppn,1895,50
73o5d2qyzn,2195,50
4ngb9xyzv3,2195,50
3wyr4mydqn,6495,50
edqqkdgx4n,7495,50
37rrdgbxxn,4995,50
3lxq8axay3,795,50
38djop9pon,1795,50
nqv2rjjaoe,995,50
ekz84zja5e,1995,50
3l6pvrjaz3,11495,50
3jmjj77a63,8995,50
qe2x8bxpan,8495,50
eraa6jpbln,7995,50
e22ajo4wae,6495,50
3ar699qkvn,7295,50
73ozy87lgn,86934,50
erbrlk9x93,111774,50
nb6m2p49x3,8563,50
edkd8jrgzn,12414,50
erbga2j253,4613,50
3wqrmq2ym3,1178,50
ng8o6mmja3,3220,50
3xvo29v6xe,2949,50
erqzvrgv93,3404,50
nmkmap8zv3,2501,50
3xy2ml5kxe,3460,50
e5g8jk4jg3,3738,50
ng942d5yze,4248,50
nmko4mp893,5964,50
346olyvyjn,3177,50
e55wlo2j9e,5363,50
346l98mdpn,55831,50
edk4v6g74n,67711,50
nyyxjm949n,118201,50
nvb9k4z9x3,53455,50
nyazrvbk9n,49891,50
edxvx5ogw3,45355,50
edd844pr4e,58995,50
3wx87bo8me,20191,50
ek98zza25n,26131,50
3xoa6y5qx3,54995,50
rnqw7ywzmn,27319,50
ny4gkb7aln,27319,50
wnm8xqxod3,6410,50
3wlvaw94ye,9261,50
23lapzvjbe,6410,50
nyaz9bggdn,8905,50
nvopzqjpxe,3796,50
3woxmzjqme,5459,50
3lpl7m9pbe,22994,50
xer2b46z93,2064,50
qe2rwwqqjn,3329,50
nv482mqbpn,2754,50
nq8v2g8pmn,2064,50
ngvq2wvorn,3099,50
37xwdja6wn,4019,50
ekobzdoldn,5284,50
edyljgmj2e,3099,50
379poa8jpn,3651,50
ekoryy6vgn,5935,50
3lmml9mlye,2479,50
3lrxjdjl73,24830,50
nvk7lr7lq3,4341,50
3pyv5g4wg3,2974,50
4ng67j2rbe,3099,50
342dodbv4e,2353,50
nv9lqv7b2e,2478,50
ek84jga42e,2602,50
37x8bqzavn,4341,50
3zd9v89ajn,3099,50
3lrqdmy6y3,19866,50
edyk6865de,4341,50
e248g4mgj3,4713,50
nm98yrglje,4962,50
3l6qgwo9y3,6204,50
3pll24a8kn,10995,50
3pxy5bw6kn,10795,50
3jqj58pl6e,34995,50
e25g7axdje,5095,50
3756zw449e,1845,50
edyr6gw8ze,2175,50
x36pwplw8e,1955,50
3x65vrl8d3,32995,50
3l68dp8bb3,17995,50
e2m2dbvqd3,19995,50
3pygkzq283,3495,50
j3j9poy59n,3495,50
37alr65qx3,3495,50
nybg76aol3,3495,50
3zk66la563,1295,50
erajb6awjn,11902,50
374oz8wap3,14170,50
3j24qvp6pe,64995,50
rnqk294jwn,1595,50
3pla29z79n,2195,50
edxam87lz3,2195,50
3lxla6wob3,2195,50
3pqpk4l7ze,1895,50
ed7o7krode,1995,50
e5pzmmarg3,1513,50
3wxlramyye,4153,50
349gzg4p4n,5995,50
3pk9mborke,11495,50
3lo49yajy3,67500,50
3zl9yol78e,14595,50
3xvxlkz9de,8995,50
3a7bpjadv3,4395,50
nbk8jjyxmn,26995,50
ek4xroxk53,29995,50
3pag6jbvb3,2295,50
e2m48mmkk3,2695,50
365rxb5xon,5995,50
e248gplxj3,7295,50
34x7kx4lmn,2795,50
3wq9komdq3,3495,50
37b2vd8kpe,2795,50
3pyq9mopg3,5995,50
3zxbdv4d8e,4995,50
er7xoym47n,5995,50
e24bgjzg63,11995,50
3j2ywjv79e,10495,50
erbkgya753,14495,50
3al5245r8n,2753,50
38z8gr7lo3,7995,50
3xrwgr9op3,1325,50
e5lwj7mdon,1495,50
edq89b5zgn,1595,50
ekzwzqzbge,22045,50
382bzwrpp3,26245,50
erbdrw8dj3,11020,50
3w72bgjqqn,7135,50
3z7w4mp66n,3670,50
nq845vqdmn,3670,50
3orm98l863,37254,50
3xvxg4wkpe,52158,50
3pql7klj8e,77896,50
38w2alzgp3,29995,50
er2ygab8l3,38113,50
3l6d8opod3,2434,50
ngbw4ogop3,2684,50
34ql9y65ke,9995,50
3zk4kk6k73,15818,50
ngojjjlrbe,13277,50
z377a4mgx3,27281,50
3zw9a2jmw3,27281,50
nb4zg4l8ae,33345,50
eddzpaw22e,13335,50
3zrr5kkl6e,64995,50
edg22wgode,72424,50
3pgbdxl883,6949,50
4e58qkagre,7446,50
63x5llj4dn,15519,50
39zd6lqjdn,2195,50
38mo9bjyon,45995,50
ngbq7pzjv3,76995,50
xerykvjm7n,53995,50
edy4jz7jge,2743,50
3j2rmgj4oe,2276,50
erq7vdlk93,10495,50
erb975al73,18388,50
39lk6o8db3,8953,50
ekqkl4y7ge,2175,50
3jq47jkroe,2595,50
382k5rpo53,5053,50
3xyylxq7pe,5053,50
3wlvgox4me,5812,50
3w4moqyxqn,3522,50
edoj8mq9g3,4495,50
3l8looqqzn,4495,50
edd6q4kpwe,5140,50
j3j2y5p7pe,67595,50
ngbpwr42b3,39425,50
nyrlkdkjye,173750,50
34bwjdrjme,209500,50
x3a9kkaxvn,7446,50
3a57jd7r7e,16995,50
3j6wy7v4pn,19995,50
edozgblwz3,19995,50
eko55dyo2n,6995,50
34xyryaryn,11037,50
3x64pmy5l3,2917,50
3jx8m8aaxn,11100,50
364xmwm8ke,4544,50
3zz545px43,52262,50
3j2g87gq9e,4846,50
ekgqr7p4r3,5245,50
38m97z8ddn,5245,50
3j2xqdz2we,4720,50
3zlqbjja8e,2200,50
3ax4w4a8dn,2291,50
ekg64grpd3,6771,50
3xy72rr2ke,5995,50
3opdwp2y6e,1795,50
3j6d494r9n,1946,50
34qa72vrje,1887,50
3wa64zjmqn,2275,50
ekgvax7j23,5324,50
xera9ymrln,1237,50
2nyq78daz3,1119,50
3lo877xxd3,1592,50
ek4678dyg3,1414,50
nbaw4m672e,3099,50
ekbvx74xde,3099,50
nv929gr7be,3099,50
3j62xmgxxn,3903,50
nbyop65g9e,3903,50
e57g25b9g3,3903,50
nyqrwbyjz3,2363,50
38dpmqlwpn,2481,50
e55orxm69e,2481,50
nvvrkvrqqn,2600,50
e5zavqbmre,2718,50
er2d8o4z53,1178,50
36o8ad27k3,1178,50
3a5r28pwde,1178,50
nvz77x4823,1652,50
39xxj2v9d3,1887,50
34kall2gke,1768,50
3pywv84783,1828,50
nyb89j5gy3,1946,50
372xmx9d9e,1176,50
3698m7gbk3,1154,50
e527lw7p4e,1154,50
3xrrv8prk3,1294,50
nbkwo8myan,1651,50
3pmgrbp9g3,1709,50
ekql4lm5re,4195,50
3p76go48k3,24995,50
ergml625ln,24995,50
3lpakwy7be,24995,50
3or6j58qk3,2795,50
37b7rkwvxe,2795,50
nyb7vp5oz3,2795,50
375y2wy7xe,3195,50
3aropwo9vn,3195,50
nyryjmq7de,2795,50
38zprwrb53,2195,50
m398vllagn,2495,50
ekb8qqorre,2795,50
34x62zaa4n,2395,50
3x6pvompp3,2395,50
nm2zy8kak3,2395,50
x3624j58on,1995,50
3zdorbq4jn,1625,50
edz5v269gn,1995,50
ekb8yjl2ge,1625,50
3wkkr725x3,1995,50
3a7zk9dx73,6995,50
3wqkol6dm3,9295,50
ek8kxvww5e,9295,50
nbakxmz59e,9295,50
wnmxykzwxe,12995,50
34xwqw5l4n,12995,50
e24adzj563,5295,50
382bg4wod3,5495,50
nggb72kxzn,5995,50
o3prljjqbn,5795,50
nyq9v7dlg3,6295,50
e5goo2g4r3,6495,50
qe2v4q5ok3,1195,50
3zzvb94v43,4195,50
37xqm6drpn,4595,50
3wv2yy47zn,8295,50
nb476pzmme,8295,50
nbvzor672e,4595,50
3p2kawloze,4595,50
nbvb4w87me,2995,50
e59d6p79gn,2995,50
3a8mq4o2be,2995,50
nvpogdzrbn,2995,50
382oxojkp3,4595,50
3aa727wj83,4595,50
erg9yyj95n,4595,50
362ddvd89n,2995,50
3a96vovabn,2995,50
3x6ovvdqx3,2995,50
3pm6l6b9g3,4595,50
36vk4gjkoe,4595,50
39jrq7dxde,4595,50
e5vokvyv93,4995,50
38vd4gow5n,4995,50
er2v742r93,4995,50
nydxzmm2ln,4995,50
3l6mg96pd3,4395,50
nyqypb4zd3,4195,50
394wpjgbge,4195,50
3wlxx5drxe,4195,50
nmmz4qqbxn,4695,50
379gga5wvn,4695,50
37bd6dq79e,4695,50
edzzarygzn,4695,50
o3pqqalmge,4695,50
3ax78aoo7n,4695,50
ng8ya78xz3,3471,50
ng85dw6jb3,3968,50
nv4mgm9zxn,6576,50
nmm8wdv2kn,35995,50
34gxpxy7p3,35995,50
3aa78vrdv3,14995,50
394bpdm7de,14995,50
ngqzl688p3,29995,50
37bv2g74we,27995,50
nmmm4zjmkn,25995,50
38xywx2xde,18624,50
ng6gpr8ype,27318,50
edk9lv9lwn,4960,50
3a88amq8me,3836,50
38x9lg4d4e,2495,50
3olrpowv63,3295,50
3lrvpa6gd3,2795,50
368lqklb9n,3695,50
g38kyr8gd3,11545,50
nyy5vvdzgn,14157,50
x3a2bdavde,29995,50
3zggbx9djn,69500,50
nbal8dppme,8995,50
3wvrbox2zn,12995,50
38v6doqppn,1595,50
369pqm6zx3,645,50
nydk8m7azn,565,50
3zkgzx5j83,785,50
38wjr5pbd3,2695,50
38d2rp9rpn,995,50
3w7y54pzqn,995,50
ngoogg8wbe,735,50
3aykjj6l73,695,50
3xabrrxrde,2495,50
39jljal9pe,745,50
83w4zpyjyn,235,50
38xrgwpzde,550,50
l342wwwyeq,987,50
qe2r8roodn,13645,50
3zxr69oaje,1732,50
nv4zrwpqjn,615,50
3lmzv8drde,3156,50
3oykz2r5ke,4395,50
37by7y7owe,6318,50
34kpw56vke,3156,50
3l6qq5zj73,3156,50
e5mzk64y43,3788,50
365bzjmo8n,3156,50
e2axdp2kj3,3995,50
3lbkk9jpdn,13995,50
ed7odo9l2e,859,50
qe2rk595dn,6295,50
364vlqkyke,70715,50
pedp6bjvde,11435,50
nvq8gpp5q3,21835,50
3wovqkq6ze,17427,50
nvzm6px2b3,28372,50
e5vjxj7mb3,16140,50
erbjkovm53,29802,50
3o22w757gn,11020,50
38mjpawyjn,1780,50
34k5wbrw4e,3895,50
3796xd79jn,3995,50
