"sku","cost_price","Edmonton"
3zz5mdzrj3,2498,0
39j59vr4ge,120283,0
372gm82ope,10310,1
3pm52g2w93,828,0
e2vzypowd3,9095,1
3zrvylg87e,3169,2
x3ao4d7d7n,2517,1
e55yo5kv4e,17293,0
nqdvz4opoe,1677,2
nq6y79d8k3,5400,2
3lm95xgdoe,9064,1
3py6m6yz93,21475,1
e5g9amzg93,636,3
38djwjk2on,4154,1
3a847v7xme,1034,2
nybzj5vpy3,769,0
3al27opvbn,14624,0
edxkkdg2w3,1399,3
3azm96b6de,6616,3
3xrodaomx3,1599,21
e2vw2d8wa3,5922,0
nyb2mj27d3,4024,2
3lrx9ozoo3,619,3
o3pv4przz3,2483,0
3wk9yy5vx3,4717,2
erymyg5p5n,4190,1
3aa9ddyov3,4036,0
nyg7mdxqgn,5394,0
3l8ylla4yn,1642,0
34k57gmg4e,20331,1
3z7m6gw64n,926,2
3zlla2ga4e,704,2
3p2zgyx68e,1231,5
3z79jvay8n,14819,1
edy5594a4e,4292,0
ng64z9gwre,1524,1
ngl8bz4bbe,394,39
34ppdlpgp3,3279,0
nga7r4bwan,6378,7
e5v8j7ggr3,1053,1
ekzb4gdkge,3961,1
g38dxl68jn,5794,2
365dbvy6on,249,1
36vrjdwrxe,3712,1
3jm2mv4w63,7469,0
x36rmddm93,2392,0
nb79r9jgae,2331,2
3j7o8lazw3,1535,304
er2p8way83,9898,1
3lpq5bgpoe,2500,0
ek7qjlv223,1400,2
38vadz7qdn,2183,0
e2b72y48ke,990,2
nykoz8k9g3,6893,1
nmrvblarje,11369,2
edxqlxz843,2756,1
nb6o2dbax3,515,0
e2vzqgqxd3,1080,3
382b2p9wo3,475,0
3wolavxvye,264,0
3pqk4mmwze,8478,1
nqyvrakg6e,3145,1
3pa29wvqb3,3103,7
3zw88yry83,1602,1
nya65qa6zn,443,47
3l8gbyoqyn,33216,1
ek8y7byo5e,4315,0
edk2rgqogn,984,0
nbox6mr993,7416,1
nbyzw8vq2e,762,0
erypdg5zln,95,17
3zkq4jrp63,14823,0
3orv5y7l93,1830,1
3pajay72g3,15177,0
e2j6zmyod3,1140,1
3o897xdx9n,2559,0
wnbgmx69ye,1956,1
3lpxjk7pze,1210,0
nv4wbva5xn,16102,0
3jzka59lwe,1981,3
3j2lldkjxe,389,0
3lm5r2z7oe,34940,1
nbayrxx8ye,12636,0
nvbxbdbw23,4150,1
4ngor477re,1679,2
362dbb2okn,2831,0
ek2g5d5a5e,3673,0
3o26p29x6n,3418,0
nyxggqbxde,5942,0
3a9d7qoq7n,192,0
3zxgb6bqwe,4710,0
3o2zqyaw6n,1042,2
nggd96o4an,3392,0
nmrdl9oode,258,5
83w864abx3,1836,6
3lrkbjjby3,2872,0
3a8p8xzr8e,3374,2
edgq9bmpde,4719,1
34k54x92pe,9942,1
er7krdp67n,7926,0
349w742o4n,2096,3
ek2dyylb4e,11685,0
39rml2a9b3,12081,4
38ddb4yvpn,2359,1
nbov8q7vm3,6323,4
3wy8jbl7xn,1959,2
ngqdxvdrv3,2371,2
e5p5zzj793,1079,4
3zx5dmy2je,9165,2
3zk4oga8j3,5494,0
3xq8bx22xn,4587,4
3l8grwlgdn,6231,1
e24zz852k3,27870,1
ed754bdowe,980,4
ek26k58k5e,11595,1
